uid,school_name,city,region,State,year
366,William Penn High School,New Castle,delaware,Delaware,2023
372,Booker T. Washington High School,New Orleans,louisiana,Louisiana,2023
373,Plaza Academy,Kansas City,missouri,Missouri,2023
367,Taylorsville High School,Taylorsville,utah,Utah,2023
368,Gila Ridge High School,Yuma,arizona,Arizona,2023
370,Geary Elementary School,Geary,oklahoma,Oklahoma,2023
369,Ridgeview Jr. High School,Pickerington,ohio,Ohio,2023
375,PS 78,Staten Island,new york,New York,2023
374,Dalhart ISD schools,Dalhart,texas,Texas,2023
376,Westinghouse Academy,Pittsburgh,pennsylvania,Pennsylvania,2023
377,Palo Duro High School,Amarillo,texas,Texas,2023
378,Lamar High School,Arlington,texas,Texas,2023
381,Anniston High School,Anniston,alabama,Alabama,2023
379,East High School,Denver,colorado,Colorado,2023
382,Northridge Middle School,Middlebury,indiana,Indiana,2023
380,The Covenant School,Nashville,tennessee,Tennessee,2023
383,George Wythe High School,Richmond,virginia,Virginia,2023
384,West High School,Knoxville,tennessee,Tennessee,2023
385,International Academy of Flint K12,Flint,michigan,Michigan,2023
388,Von Tobel Ed MS,Las Vegas,nevada,Nevada,2023
386,E. Washington Rhodes Elementary School,Philadelphia,pennsylvania,Pennsylvania,2023
387,Roosevelt High School,Washington,district of columbia,District of Columbia,2023
390,St. John's Prep,Danvers,massachusetts,Massachusetts,2023
389,Oliver Citywide Academy,Pittsburgh,pennsylvania,Pennsylvania,2023
391,Michigan Collegiate High School,Warren,michigan,Michigan,2023
